utility_id,utility_name,plant_code,plant_name,street_address,city,state,zip,county,latitude,longitude,nerc_region,balancing_authority_code,balancing_authority_name,name_of_water_source,primary_purpose_naics_code,regulatory_status,sector,sector_name,ferc_cogeneration_status,ferc_cogeneration_docket_number,ferc_small_power_producer_status,ferc_small_power_producer_docket_number,ferc_exempt_wholesale_generator_status,ferc_exempt_wholesale_generator_docket_number,ash_impoundment,ash_impoundment_lined,ash_impoundment_status,transmission_or_distribution_system_owner,transmission_or_distribution_system_owner_id,transmission_or_distribution_system_owner_state,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,energy_storage,natural_gas_ldc_name,natural_gas_pipeline_name_1,natural_gas_pipeline_name_2,natural_gas_pipeline_name_3,pipeline_notes,natural_gas_storage,liquefied_natural_gas_storage
2770,Terra-Gen Operating Co-Wind,50820,East Winds Project,5400 N Indian Canyon Drive,Palm Springs,CA,92262,Riverside,33.890913,-116.541515,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,85-229-000,N,,N,X,,Southern California Edison Co,17609,CA,34, , ,N,,,,,,X,X
2770,Terra-Gen Operating Co-Wind,50821,Mojave 16/17/18,7021 Oak Creek Road,Mojave,CA,93501,Kern,35.045,-118.2642,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,88-364-000,N,,,X,,Southern California Edison Co,17609,CA,230, , ,N,,,,,,X,
2770,Terra-Gen Operating Co-Wind,52142,Mojave 3/4/5,7021 Oak Creek Road,Mojave,CA,93501,Kern,35.0506,-118.2572,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,88-384-000,N,,,X,,Southern California Edison Co,17609,CA,230, , ,N,,,,,,X,X
64311,Wind Wall 1 LLC,52162,85 A,161 N. Mill Unit A,Tehachapi,CA,93561,Kern,35.1011,-118.3372,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,85-687-000,N,,N,X,,Southern California Edison Co,17609,CA,66, , ,N,,,,,,N,
64311,Wind Wall 1 LLC,52163,85 B,161 N. Mill Unit A,Tehachapi,CA,93561,Kern,35.1011,-118.3372,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,85-686-000,N,,N,X,,Southern California Edison Co,17609,CA,66, , ,N,,,,,,N,
63235,Brookfield Renewable Trading and Marketing LP,54298,Coram Energy LLC (ECT),6703 Oak Creek Road,Tehachapi,CA,93501,Kern,35.0583,-118.3417,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,93-82-000,N,,N,X,,San Diego Gas & Electric Co,16609,CA,12, , ,N,,,,,,X,X
63235,Brookfield Renewable Trading and Marketing LP,54299,Coram Energy LLC,6703 Oak Creek Road,Tehachapi,CA,93501,Kern,35.075,-118.3417,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,93-81-000,N,,,X,,Southern California Edison Co,17609,CA,12, , ,N,,,,,,X,X
63235,Brookfield Renewable Trading and Marketing LP,54300,CTV Power Purchase Contract Trust,6703 Oak Creek Road,Tehachapi,CA,93501,Kern,35.0583,-118.3083,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,93-80-000,N,,N,X,,Southern California Edison Co,17609,CA,66, , ,N,,,,,,X,X
57170,"EDF Renewable Asset Holdings, Inc.",54453,EDF Renewable Windfarm V Inc,6523 Montezuma Hills Road,Birds Landing,CA,94512,Solano,38.1167,-121.8333,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,90-57-000,N,,,X,,Pacific Gas & Electric Co,14328,CA,34.5, , ,N,,,,,,,
49963,"FPL Energy Operating Services, Inc.",54454,San Gorgonio Windplant WPP1993,,North Palm Springs,CA,92258,Riverside,33.918395,-116.573906,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Southern California Edison Co,17609,CA,12.47, , ,N,,,,,,X,X
2770,Terra-Gen Operating Co-Wind,54647,TPC Windfarms LLC,7021 Oak Creek Road,Mojave,CA,93501,Kern,35.05,-118.2572,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Southern California Edison Co,17609,CA,66, , ,N,,,,,,X,X
2770,Terra-Gen Operating Co-Wind,54686,Difwind Farms Ltd VI,7021 Oak Creek Road,Mojave,CA,93501,Kern,35.0506,-118.1714,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,87-190-000,N,,,X,,Southern California Edison Co,17609,CA,12, , ,N,,,,,,X,X
63235,Brookfield Renewable Trading and Marketing LP,54750,Coram Tehachapi,6703 Oak creek Road,Tehachapi,CA,93501,Kern,35.0663,-118.339444,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,93-23-000,N,,N,X,,Southern California Edison Co,17609,CA,66, , ,N,,,,,,X,X
59496,Allete Clean Energy,54793,Storm Lake 1,5320 50th Ave,Alta,IA,51002,Buena Vista,42.6878,-95.405,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,Y,98-52-000,N,X,,MidAmerican Energy Co,12341,IA,161, , ,N,,,,,,N,X
2719,CalWind Resources Inc,54909,Tehachapi Wind Resource II,15001 E Tehachapi Blvd,Tehachapi,CA,93561,Kern,35.1061,-118.3114,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,83-290-000; 83-417-000,N,,N,X,,Southern California Edison Co,17609,CA,66, , ,N,,,,,,,
2770,Terra-Gen Operating Co-Wind,54931,Ridgetop,10315 Oak Creek Road,Mojave,CA,93501,Kern,35.074,-118.3153,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,Y,94-50-000,N,,,X,,Southern California Edison Co,17609,CA,66.6, , ,N,,,,,,X,X
2770,Terra-Gen Operating Co-Wind,54979,Big Spring Wind Power Facility,3300 South Moss Lake Rd,Big Spring,TX,79720,Howard,32.2075,-101.388333,TRE,ERCO,"Electric Reliability Council of Texas, Inc.",,22,NR,2,IPP Non-CHP,N,,Y,95-141-000,N,,,X,,Oncor Electric Delivery Company LLC,44372,TX,66, , ,N,,,,,,X,X
6017,ESI Vansycle Partners LP,55125,Vansycle,365 Touchet Gardena Road,Touchet,OR,97835,Umatilla,45.936157,-118.65999,WECC,BPAT,Bonneville Power Administration,,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Bonneville Power Administration,1738,OR,69.9, , ,N,,,,,,N,X
59496,Allete Clean Energy,55208,Lake Benton I,1740 US Highway 14 West,Lake Benton,MN,56149,Lincoln,44.2917,-96.375,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,Y,97-86-000,N,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,N,X
13781,Northern States Power Co - Minnesota,55265,Lake Benton II,150 Evans Street,Ruthton,MN,56170,Pipestone,44.129369,-96.116971,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,RE,1,Electric Utility,N,,N,,Y,99-9-000,,X,,Northern States Power Co - Minnesota,13781,MN,230, , ,N,,,,,,,
59496,Allete Clean Energy,55287,Storm Lake II,5320 50th Ave,Alta,IA,51002,Buena Vista,42.8417,-95.405,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,Y,98-53-000,N,X,,ITC Midwest LLC,56161,,69, , ,N,,,,,,N,X
56769,Consolidated Edison Development Inc.,55342,Woodstock Windfarm,996 190th Avenue,Woodstock,MN,56186,Pipestone,43.985833,-96.078611,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,Y,06-138,Y,99-171,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
61219,Longroad Energy Services LLC,55353,Lakota Ridge LLC,City Road 1,Hendricks,MN,56142,Lincoln,44.39956,-96.428367,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,Y,06-139-000,Y,98-110-000,N,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
61219,Longroad Energy Services LLC,55354,Shaokatan Hills LLC,City Road 1,Hendricks,MN,56142,Lincoln,44.421711,-96.434694,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,Y,06-137-000,Y,98-111-000,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
34688,CHI Energy Inc,55368,Wethersfield Wind Farm,4179 Poplar Tree Road,Gainesville,NY,14066,Wyoming,42.678819,-78.243792,NPCC,NYIS,New York Independent System Operator,,22,NR,2,IPP Non-CHP,N,,N,,Y,00-1928-00,,X,,Niagara Mohawk Power Corp.,13573,NY,34.5, , ,N,,,,,,,
49750,FPL Energy Green Power,55396,Green Power I,19020 N Indian Avenue,North Palm Springs,CA,92258,Riverside,33.9014,-116.7167,WECC,CISO,California Independent System Operator,,22,NR,2,IPP Non-CHP,N,,N,,Y,99-140-000,,X,,Southern California Edison Co,17609,CA,230, , ,N,,,,,,,
6607,FPL Energy Vansycle LLC,55560,FPL Energy Vansycle LLC (WA),356 Touchet Gardena Road,Touchet,WA,99360,Walla Walla,46.06,-118.917,WECC,BPAT,Bonneville Power Administration,,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Bonneville Power Administration,1738,WA,230, , ,N,,,,,,,
54725,CHI Operations Inc,55561,Tsar Nicholas LLC,Hwy 1,Hendricks,MN,56136,Lincoln,44.42,-96.4347,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55562,Sun River LLC,Hwy 1,Hendricks,MN,56136,Lincoln,44.4289,-96.4358,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55563,Julia Hills LLC,Hwy 1,Hendricks,MN,56136,Lincoln,44.4231,-96.4458,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55564,Jessica Mills LLC,Hwy 1,Hendricks,MN,56136,Lincoln,44.4278,-96.43,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55565,Jack River LLC,Hwy 1,Hendricks,MN,56136,Lincoln,44.4233,-96.4411,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55566,Autumn Hills LLC,Hwy 1,Hendricks,MN,56136,Lincoln,44.4131,-96.4325,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55567,Winters Spawn LLC,Hwy 14,Lake Benton,MN,55149,Lincoln,44.2081,-96.1989,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55568,Twin Lake Hills LLC,Hwy 14,Lake Benton,MN,55149,Lincoln,44.2258,-96.2789,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55569,Spartan Hills LLC,Hwy 14,Lake Benton,MN,55149,Lincoln,44.2358,-96.2383,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55570,Soliloquoy Ridge LLC,Hwy 14,Lake Benton,MN,55149,Lincoln,44.2364,-96.2331,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55571,Ruthton Ridge LLC,Hwy 14,Lake Benton,MN,55149,Lincoln,44.2128,-96.2131,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55572,Hope Creek LLC,Hwy 14,Lake Benton,MN,55149,Lincoln,44.2275,-96.2192,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55573,Hadley Ridge LLC,Hwy 14,Lake Benton,MN,55149,Lincoln,44.2253,-96.235,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Otter Tail Power Co,14232,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55574,Florence Hills LLC,Hwy 14,Lake Benton,MN,55149,Lincoln,44.2297,-96.225,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,34.5, , ,N,,,,,,,
54725,CHI Operations Inc,55576,Agassiz Beach LLC,Hwy 9,Averill,MN,56536,Clay,47.0053,-96.4356,MRO,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,22,NR,2,IPP Non-CHP,N,,N,,N,,,X,,Northern States Power Co - Minnesota,13781,MN,24.9, , ,N,,,,,,,
