Predominant Turbine Manufacturer,Predominant Turbine Model Number,id,manufacturer,model,power_rated_power
NEG-Micon,NM82/1650,1149-neg-micon-nm-82-1650,NEG Micon,NM 82/1650,"1,650.0 kW"
Nordex,N100/2500,44-nordex-n100-gamma,Nordex,N100 Gamma,"2,500.0 kW"
Nordex,N117/2400,96-nordex-n117-gamma,Nordex,N117 Gamma,"2,400.0 kW"
Nordex,N117/3000,439-nordex-n117-delta,Nordex,N117 Delta,"3,000.0 kW"
Nordex,N54/1000,397-nordex-n54,Nordex,N54,"1,000.0 kW"
Nordex,N60/1300,77-nordex-n60,Nordex,N60,"1,300.0 kW"
Nordex,N90/2500,734-nordex-n90-2500,Nordex,N90/2500,"2,500.0 kW"
Nordic,N1000-59,1088-nordic-windpower-co.-n1000,Nordic Windpower Co.,N1000,"1,000.0 kW"
Nordtank,NTK 500/41,384-nordtank-ntk-500-41,Nordtank,NTK 500/41,500.0 kW
Nordtank,NTK 65/13,564-nordtank-ntk-65,Nordtank,NTK 65,65.0 kW
Nordtank,NTK 75/15,564-nordtank-ntk-65,Nordtank,NTK 65,65.0 kW
Northern Power,NPS 100C-24,365-nps-northern-power-nps-100c-24,NPS Northern Power,NPS 100C-24,100.0 kW
Renewtech,WT100,563-renewtech-llc-wt-100,Renewtech LLC,WT-100,99.0 kW
REpower,MM92,558-repower-mm92,REpower,MM92,"2,050.0 kW"
SANY,SE11020,2087-sany-se10020,SANY,SE10020,"2,000.0 kW"
SANY,SE8720IIIE,2038-sany-se8720,SANY,SE8720,"2,000.0 kW"
SANY,SE9320III-3,2086-sany-se9320,SANY,SE9320,"2,000.0 kW"
Senvion,MM92,889-senvion-mm92,Senvion,MM92,"2,050.0 kW"
Siemens,SWT-1.0-54,266-hsw-husumer-schiffs.-hsw-1000-54,HSW Husumer Schiffs.,HSW 1000/54,"1,000.0 kW"
Siemens,SWT-1.3-62,1457-siemens-swt-1.3-62,Siemens,SWT-1.3-62,"1,300.0 kW"
Siemens,SWT-2.3-101,341-siemens-swt-2.3-101,Siemens,SWT-2.3-101,"2,300.0 kW"
Siemens,SWT-2.3-108,647-siemens-swt-2.3-108,Siemens,SWT-2.3-108,"2,300.0 kW"
Siemens,SWT-2.3-82,204-siemens-swt-2.3-82,Siemens,SWT-2.3-82,"2,300.0 kW"
Siemens,SWT-2.3-82 VS,204-siemens-swt-2.3-82,Siemens,SWT-2.3-82,"2,300.0 kW"
Siemens,SWT-2.3-93,551-siemens-swt-2.3-93,Siemens,SWT-2.3-93,"2,300.0 kW"
Siemens,SWT-2.625-120,1891-siemens-gamesa-sg-2.6-114,Siemens Gamesa,SG 2.6-114,"2,625.0 kW"
Siemens,SWT-3.0-101,66-siemens-swt-3.0-101,Siemens,SWT-3.0-101,"3,000.0 kW"
Siemens,SWT-3.2-113,966-siemens-swt-3.2-113,Siemens,SWT-3.2-113,"3,200.0 kW"
Siemens Gamesa,G132-3.465,1481-gamesa-g132-3.465mw,Gamesa,G132-3.465MW,"3,465.0 kW"
Siemens Gamesa,SG 2.7-129,1888-siemens-gamesa-sg-2.7-129,Siemens Gamesa,SG 2.7-129,"2,750.0 kW"
Siemens Gamesa,SWT-2.415-108,647-siemens-swt-2.3-108,Siemens,SWT-2.3-108,"2,300.0 kW"
Sinovel,SL1500/82,1617-sinovel-sl1500-82,Sinovel,SL1500/82,"1,500.0 kW"
Suzlon,S111,1371-suzlon-s.111-2100,Suzlon,S.111-2100,"2,100.0 kW"
Suzlon,S52,475-suzlon-s.97-2100,Suzlon,S.97-2100,"2,100.0 kW"
Suzlon,S64-1250,472-suzlon-s.64-1250,Suzlon,S.64-1250,"1,250.0 kW"
Suzlon,S64-950,466-suzlon-s.64-950,Suzlon,S.64-950,950.0 kW
Suzlon,S88-2100,95-suzlon-s.88-2100,Suzlon,S.88-2100,"2,100.0 kW"
Suzlon,S97-2100,475-suzlon-s.97-2100,Suzlon,S.97-2100,"2,100.0 kW"
Unison,U57,1564-unison-u57,Unison,U57,750.0 kW
VENSYS,VENSYS120,853-vensys-120-3000,Vensys,120/3000,"3,000.0 kW"
VENSYS,VENSYS77,485-regen-powertech-vensys-77,ReGen Powertech,VENSYS 77,"1,500.0 kW"
VENSYS,VENSYS82,484-regen-powertech-vensys-82,ReGen Powertech,VENSYS 82,"1,500.0 kW"
Vestas,PS-600,457-rrb-energy-pawan-shakthi-ps-600,RRB Energy,Pawan Shakthi PS-600,600.0 kW
Vestas,V100-1.8,1002-vestas-v100-1.8,Vestas,V100-1.8,"1,800.0 kW"
Vestas,V100-2.0,1001-vestas-v100-2.0,Vestas,V100-2.0,"2,000.0 kW"
VESTAS,V100-2.0,1001-vestas-v100-2.0,Vestas,V100-2.0,"2,000.0 kW"
Vestas,V110-2.0,996-vestas-v110-2.0,Vestas,V110-2.0,"2,000.0 kW"
Vestas,V112-3.0,7-vestas-v112-3.075-onshore,Vestas,V112-3.075 Onshore,"3,075.0 kW"
Vestas,V112-3.3,693-vestas-v112-3.3,Vestas,V112-3.3,"3,300.0 kW"
Vestas,V112-3.45,1247-vestas-v112-3.45,Vestas,V112-3.45,"3,450.0 kW"
Vestas,V116-2.1,1814-vestas-v116-2.1,Vestas,V116-2.1,"2,100.0 kW"
Vestas,V117-3.3,694-vestas-v117-3.3,Vestas,V117-3.3,"3,300.0 kW"
Vestas,V117-3.45,1248-vestas-v117-3.45,Vestas,V117-3.45,"3,450.0 kW"
Vestas,V120-2.0,1589-vestas-v120-2.0,Vestas,V120-2.0,"2,000.0 kW"
Vestas,V120-2.2,1815-vestas-v120-2.2,Vestas,V120-2.2,"2,200.0 kW"
Vestas,V126-3.3,695-vestas-v126-3.3,Vestas,V126-3.3,"3,300.0 kW"
Vestas,V126-3.45,1249-vestas-v126-3.45,Vestas,V126-3.45,"3,450.0 kW"
Vestas,V136-3.45,1282-vestas-v136-3.45,Vestas,V136-3.45,"3,450.0 kW"
Vestas,V136-3.6,1282-vestas-v136-3.45,Vestas,V136-3.45,"3,450.0 kW"
Vestas,V136-4.2,1839-vestas-v136-4.2,Vestas,V136-4.2,"4,200.0 kW"
Vestas,V15,8-vestas-v15,Vestas,V15,55.0 kW
Vestas,V150-4.2,1841-vestas-v150-4.2,Vestas,V150-4.2,"4,200.0 kW"
Vestas,V17-75,141-vestas-v17-75,Vestas,V17 - 75,75.0 kW
Vestas,V17-90,211-vestas-v17-75,Vestas,V17 - 75,90.0 kW
Vestas,V27-225,9-vestas-v27,Vestas,V27,225.0 kW
Vestas,V42-600,109-vestas-v42,Vestas,V42-600,600.0 kW
Vestas,V47-660,13-vestas-v47,Vestas,V47-660,660.0 kW
Vestas,V66-1.65,15-vestas-v66-1.65,Vestas,V66-1.65,"1,650.0 kW"
Vestas,V80-1.8,1350-vestas-v80-1.8,Vestas,V80-1.8,"1,800.0 kW"
Vestas,V80-2.0,19-vestas-v80-2.0,Vestas,V80-2.0,"2,000.0 kW"
Vestas,V82,1727-vestas-v82-1.5,Vestas,V82-1.5,"1,500.0 kW"
Vestas,V82-1.65,81-vestas-v82-1.65,Vestas,V82-1.65,"1,650.0 kW"
Vestas,V90-1.8,971-vestas-v90-1.8,Vestas,V90-1.8,"1,800.0 kW"
Vestas,V90-2.0,16-vestas-v90,Vestas,V90,"2,000.0 kW"
Vestas,V90-3.0,603-vestas-v90-3.0,Vestas,V90-3.0,"3,000.0 kW"
Vestas,Vestas V-47,13-vestas-v47,Vestas,V47,660.0 kW
Zond,Z-40,492-zond-z-40-fs,Zond,Z-40-FS,550.0 kW
Zond,Z-48,1177-zond-z-48,Zond,Z-48,750.0 kW
Zond,Z-50,2-zond-z-50,Zond,Z-50,750.0 kW
