Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Azimuth Angle,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
60520,SoCore Energy LLC,60971,Michael Solar,MN,Stearns,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,12,2017,,,,Y,,,,,,,180,25,1.4,Y,,,,,,N, ,N, 
60520,SoCore Energy LLC,60971,Michael Solar,MN,Stearns,PV2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,12,2017,,,,Y,,,,,,,180,25,1.4,Y,,,,,,N, ,N, 
60520,SoCore Energy LLC,60971,Michael Solar,MN,Stearns,PV3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,12,2017,,,,Y,,,,,,,180,25,1.4,Y,,,,,,N, ,N, 
60619,"Whitney Point Solar, LLC",60975,Whitney Point Solar,CA,Fresno,WS532,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,20,20,20,3,2017,,Y,,,,,,,,,0,0,28.6,Y,,,,,,N, ,N, 
60610,"OSLH, LLC",60976,"OSLH, LLC",OR,Deschutes,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,9.9,9.9,9.9,12,2016,,Y,,,,,,,,,90,60,10.4,Y,,,,,,N, ,N, 
61944,Goldman Sachs Renewable Power LLC,60978,CSUF State College,CA,Orange,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1,1,1,12,2016,,,,Y,,,,,,,180,10,1.1,Y,,,,,,N, ,N, 
61944,Goldman Sachs Renewable Power LLC,60979,CSUF Nutwood Solar,CA,Orange,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.9,1.9,1.9,12,2016,,,,Y,,,,,,,180,10,2.2,Y,,,,,,N, ,N, 
61060,Cypress Creek Renewables,60980,ZV Solar 1,NC,Robeson,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5,5,5,6,2016,,,,Y,,,,,,,180,20,7,Y,,,,,,N, ,N, 
60614,"Westside Solar, LLC",60981,NextEra Westside PV,CA,Fresno,WS526,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,20,20,20,3,2017,,Y,,,,,,,,,0,0,27,Y,,,,,,N, ,N, 
64778,"Strata Manager, LLC",60982,Atkinson Farm Solar,NC,Duplin,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5,5,5,12,2015,,,,Y,,,,,,,180,20,6.5,,Y,,,,,N, ,N, 
60618,"Lindberg Field Solar 2, LLC",60984,Lindberg Field Solar 2,CA,San Diego,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.9,1.9,1.9,2,2017,,,,Y,,,,,,,207,7.5,2.2,Y,,,,,,N, ,N, 
61012,AES Distributed Energy,60985,Elizabethtown Solar,PA,Lancaster,ESPV,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2,2,2,2,2016,,,,Y,,,,,,,180,30,2.6,Y,,,,,,N, ,N, 
63249,Terraform Arcadia,60986,AIS Solar Project,MA,Worcester,SO212,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2.5,2.5,2.5,12,2016,,Y,,,,,,,,,147,12,3.2,Y,,,,,,Y,3.2,N, 
60636,"SolaireHolman 1, LLC",60989,SolaireHolman Solar Project,TX,Brewster,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,50,50,50,4,2017,,Y,,,,,,,,,0, ,64.5,Y,,,,,,N, ,N, 
60281,"Altus Power America Management, LLC",60990,"Florence Solar W3-080, LLC",NJ,Burlington,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,7.9,7.9,7.9,12,2016,,,,Y,,,,,,,180,15,9.9,Y,,,,,,N, ,N, 
63249,Terraform Arcadia,60992,Northern Cardinal Solar,NC,Halifax,NCARD,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,2,2,2,6,2018,,Y,,,,,,,,,180, ,3.6,Y,,,,,,N, ,N, 
60611,"Darlington Solar, LLC",60993,"Darlington Solar, LLC",SC,Darlington,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10,10,10,12,2016,,,,Y,,,,,,,180,20,14,Y,,,,,,N, ,N, 
60640,"Brick Standard, LLC",60994,French's Landfill PV,NJ,Ocean,GEN1,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,5.1,5,5,10,2014,,,,Y,,,,,,,180,8.7,6.1,Y,,,,,,N, ,N, 
