BusID,Name,Latitude,Longitude
11139,SANTA_F#,,
11140,SANTA_T,31.852895,-106.683109
11141,SANTA_T1,,
11143,SCOTSDAL,31.783847,-106.361753
11144,SCOTSDALE1,,
11148,SIERRA_B,,
11150,SOCORRO,,
11151,SOL,31.750172,-106.307045
11152,SOL_1,,
11153,SOL_2,,
11155,SUNSET,,
11156,SUNSET,,
11157,SUNSET_N,31.768553,-106.497725
11158,SUNSET_N,,
11159,SUNSETN2,,
11160,THORN,31.849329,-106.565518
11161,THORN_1,,
11162,THORN_2,,
11164,VALLEY,,
11166,VISCOUNT,,
11167,VISTA__#,31.776757,-106.312779
11168,VISTA_1,,
11169,VISTA_2,,
11170,WHITE_SA,32.388935,-106.479024
11171,WHITESA1,,
11172,WRANGLER,31.712533,-106.292822
11173,WRANGLR1,,
11174,DURAZNO,31.775401,-106.436138
11175,DURAZNO1,,
11176,MILAGRO2,,
11177,NUWAY,31.907176,-106.584493
11178,NUWAY_1,,
11179,BUTERFL2,,
11180,FELIPE,,
11182,MILAGRO3,,
11184,SPARKS2,,
11185,RIO_BOS1,,
11186,RIO_BOS2,,
11187,LEO1,,
11188,LEO_EAST,31.861169,-106.446132
11190,APOLLO,,
11191,JORNADA2,,
11192,UVAS,,
11193,UVAS,,
11194,LEASBURG,,
11195,LEASBURG,,
11196,PELICANO1,,
11197,PELICANO,31.745679,-106.213635
11198,SALOPEK3,,
11200,NUWAY_2,,
11201,DIABLO_A,,
11202,DIABLO_B,31.805007,-106.587511
11203,NEWMAN_A,,
11204,NEWMAN_B,31.9841,-106.433164
11205,CHAPARAL2,,
11206,AIRPOR,32.268946,-106.938513
11207,AIRPOR_1,,
11208,NEWMAN_5GT3,,
11209,NEWMAN_5GT4,,
11210,AIRPOR_2,,
11211,SALOPEK2,,
11212,PATRIOT,31.963721,-106.435675
11213,PATRIOT1,,
11214,PATRIOT2,,
11217,AFTON,32.114537,-106.848212
11218,JORNADA,32.387696,-106.759962
11219,JORNADA1,,
11220,PENDALE,31.743658,-106.354766
11221,PENDALE1,,
11222,PENDALE2,,
11223,MONTWOOD2,,
11224,DMD_HEAD,31.715004,-106.372662
11225,DIAMOND_HEAD,,
11226,RIOGD_G9,,
11227,MPS1,,
11228,MPS2,,
11229,NEWMNAN_7GT6,,
11230,NEWMNAN_7ST3,,
11232,MPS3,,
11233,MPS4,,
11235,AFTON_N,,
11237,AMRAD_B,32.5194,-106.138235
11238,AMRAD_A,,
11239,DURAZNO2,,
11240,PELICANO2,,
11241,SCOTSDALE2,,
11242,AFTON_N,,
11243,TALAVERA,,
11244,TALAVERA,,
11245,SOLAR_HV,,
11246,SOLAR_WC,,
11247,SOLAR_WT,,
11248,HECATE,,
11252,SANTA_T2,,
11253,GR,31.89339,-106.349
11254,GR_A,,
11255,GR_B,,
11256,VERDE,31.77703,-106.56673
11257,VERDE,,
11259,RIPLEY,31.836866,-106.576427
11260,RIPLEY1,,
11261,NEWMN5S1,,
11262,RIPLEY2,,
11264,PIPELINE,,
11266,PICANTE,31.888877,-106.312878
11267,PICANTE,31.888877,-106.312878
11268,NEWMAN_6GT5,,
11270,NEWMN6S1,,
11271,SANTA_TERESA,,
11272,AIRPORT_PV,,
11273,CHAPAREL_PV,,
11274,HAT_DIST_PV,,
11275,PINE,,
11276,SEABECK,,
11277,FELIPE,,
11285,SOLAR_E1,,
11286,MACHOSPRNGHV,32.53844,-107.493524
11289,ROBERTS,,
11290,PATRIOT_PV,,
11291,TRIUMPH,31.778143,-106.19972
11292,TRIUMPH1,,
11293,MINER,31.80723,-106.519461
11294,EXECUTIVE,,
11295,SOLAR_EV,,
11296,SOLAR_EC,,
11297,SOLAR_ET,,
11298,VADO,,
11299,VADO,,
11304,TRIUMPH2,,
11310,EMRLD,,
11311,EMRLD,,
11313,MONTWOOD3,,
11315,OTERO,,
11316,OTERO,,
11317,EMPIRE,,
11319,BV_BATT,,
11320,BATTERY_W,,
11321,CANUT1_BAT,,
11322,BATTERY_E,,
11326,SOLAR_ET,,
11327,SOLAR_EC,,
11328,SOLAR_EV,,
11329,PV125_1,,
11330,NEWMAN_E8,,
11334,BV_PV2,,
11335,BV_PV1,,
11336,BV_C2,,
11337,BV_C1,,
11338,BV_STA,,
11340,CE2,,
11341,CE3,,
11342,CE4,,
11345,CE3,,
11346,CE4,,
11347,CE2_1,,
11355,NEELY,,
11356,LARGO,,
11357,EMRLD,,
11379,NBLISS,,
11400,ST_DIST_PV,,
11401,APT_DIST_PV,,
11402,CHAP_DIST_PV,,
11403,PAT_DIST_PV,,
11404,HAT_DIST_PV,,
12002,ALAMOGPG,32.909958,-105.964528
12005,ALGODONE,35.386117,-106.465005
12007,BELEN_PG,34.618023,-106.817591
12008,BERNARDO,34.437892,-106.86277
12009,BERNARDO,,
12011,BLACKLAK,36.399475,-105.28555
12012,BLUEWATR,35.265608,-107.949877
12013,BLUEWATR,,
