plant_code,plant_code_unique,plant_name,generator_id,state,county,ba,nerc_region,azimuth,tilt,system_capacity,module_type,array_type,lat,lon,losses
63525,63525,Spruce - WCMD - Creek,GEN1,MD,Washington,PJM,RFC,2,25,2000,0,0,39.67185,-77.82329,14
63526,63526,Spruce - WCMD - Resh I,GEN1,MD,Washington,PJM,RFC,0,20,2000,0,0,39.68185,-77.80145,14
63527,63527,Lafayette 2 - Internal Services Dept,GEN1,CA,Los Angeles,CISO,WECC,225,4.8,1900,0,0,34.05,-118.18,14
63530,63530,Jersey City DWP,10331,NJ,Hudson,PJM,RFC,0,0,1000,0,0,40.690025,-74.087431,14
63531,63531,Pima Community College NW,10327,AZ,Pima,TEPC,WECC,145,14,1300,0,0,32.343491,-111.02786,14
63532,63532,Winona Community Solar One LLC,52837,MN,Winona,MISO,MRO,180,30,1000,0,0,43.858524,-91.321983,14
63533,63533,Goodhue Community Solar Two LLC,52830,MN,Goodhue,MISO,MRO,180,30,1000,0,0,44.293907,-92.723598,14
63534,63534,Houston/Winona Community Solar One LLC,52827,MN,Houston,MISO,MRO,180,30,1000,0,0,43.866327,-91.322351,14
63535,63535,Solar BESS Hybrid,SOLAR,GA,Cobb,SOCO,SERC,180,33.979348,1500,0,4,33.979348,-84.556128,14
63536,63536,Amazon DEN2 Solar Project,BLD3,CO,Adams,PSCO,WECC,183,10,1200,0,0,39.75,-104.75,14
63537,63537,Amazon BDL3 Solar Project,BLD3,CT,New Haven,ISNE,NPCC,198,10,1000,0,0,41.45,-72.85,14
63542,63542,Enter Solar,ENTER,MN,Waseca,MISO,MRO,181,30,1000,0,0,44.141576,-93.7077,14
63543,63543,Lange Solar,LNGE,MN,Olmsted,MISO,MRO,177,30,1000,0,0,44.028216,-92.63908,14
63545,63545,Chevron - Lost Hills Hybrid,GEN1,CA,Kern,CISO,WECC,180,61.5,30000,0,2,35.62,-119.69,14
63548,63548,Lily Solar,1,SC,Allendale,SCEG,SERC,90,90,70000,0,2,33.094931,-81.434842,14
63554,63554,Mohave Electric Cooperative at Joy Lane,PV2,AZ,Mohave,WALC,WECC,180,34.9843,10000,0,2,34.9843,-114.5565,14
63555,63555,"St. Joseph's Solar, LLC CSG",STJOE,MA,Worcester,ISNE,NPCC,180,42.143586,1000,0,0,42.143586,-71.972112,14
63556,63556,"Boutillier Solar, LLC CSG",BOUTI,MA,Worcester,ISNE,NPCC,180,42.219,2900,0,0,42.219,-71.891,14
63557,63557,"Blair Wire Village Solar, LLC CSG",BLAWV,MA,Worcester,ISNE,NPCC,180,42.259,1000,0,0,42.259,-71.975,14
63558,63558,"Barton Acres Solar, LLC CSG",BARAC,MA,Worcester,ISNE,NPCC,180,42.572,1000,0,0,42.572,-72.164,14
63561,63561,"Cherry Valley Solar, LLC CSG",CHERV,MA,Worcester,ISNE,NPCC,180,42.229961,1000,0,0,42.229961,-71.891545,14
63562,63562,"ISM Solar Dighton 2, LLC CSG",DIGHT,MA,Bristol,ISNE,NPCC,180,41.816858,2000,0,0,41.816858,-71.168944,14
63563,63563,"Incom Solar, LLC CSG",INCOM,MA,Worcester,ISNE,NPCC,180,42.107929,2000,0,0,42.107929,-72.017227,14
63564,63564,"JH Solar, LLC CSG",JHSOL,MA,Worcester,ISNE,NPCC,180,42.243,1000,0,0,42.243,-72.1,14
63565,63565,"Woodchuck Solar, LLC CSG",WOODC,MA,Worcester,ISNE,NPCC,180,42.258218,1000,0,0,42.258218,-71.975189,14
63566,63566,HWY 158 PV,HW158,NC,Hertford,PJM,SERC,180,36.423222,9000,0,4,36.423222,-77.073839,14
63569,63569,"Dudley River 3 Solar, LLC CSG",DUD3,MA,Worcester,ISNE,NPCC,180,42.071255,1000,0,0,42.071255,-71.998219,14
63570,63570,"Dudley River 2 Solar, LLC CSG",DUD2,MA,Worcester,ISNE,NPCC,180,42.07239,1000,0,0,42.07239,-71.997064,14
63571,63571,"Dudley River Solar, LLC CSG",DUD1,MA,Worcester,ISNE,NPCC,180,42.070934,1000,0,0,42.070934,-71.999663,14
63572,63572,"Ledeaux Solar, LLC CSG",LEDEA,MA,Worcester,ISNE,NPCC,180,42.241,1000,0,0,42.241,-72.104,14
63573,63573,"Cohasse Solar, LLC CSG",COHAS,MA,Worcester,ISNE,NPCC,180,42.056,1000,0,0,42.056,-72.045,14
63579,63579,Britton Solar Energy Center,BSEC,NM,Torrance,PNM,WECC,180,0,50000,0,2,35.016,-106.098,14
63582,63582,Harmony Solar,HFS,FL,Osceola,FMPP,SERC,180,28.155322,74500,0,2,28.155322,-81.108333,14
63583,63583,Taylor Creek Solar,TCS,FL,Orange,FMPP,SERC,180,28.503469,74500,0,2,28.503469,-81.048333,14
63586,63586,SR Kersey II,KERII,CO,Weld,WACM,WECC,60,40.386223,1000,0,2,40.386223,-104.554038,14
63587,63587,SR Skylark C,SKYC,CO,Weld,WACM,WECC,60,40.575118,1100,0,2,40.575118,-104.89577,14
63588,63588,"Palombo Solar, LLC CSG",PALOA,MA,Worcester,ISNE,NPCC,180,42.025,2000,0,0,42.025,-71.599,14
63589,63589,"Palombo B Solar, LLC CSG",PALOB,MA,Worcester,ISNE,NPCC,180,42.028,1000,0,0,42.028,-71.596,14
63592,63592,Nutmeg Solar,NUTMG,CT,Hartford,ISNE,NPCC,25,25,19600,0,0,41.974794,-72.510833,14
63595,63595,"Lowry CSG2, LLC",SC,MN,Pope,MISO,MRO,180,52,1000,0,2,45.669611,-95.510528,14
63623,63623,Lafayette 2 - MLK Jr. Hospital (MLK),GEN1,CA,Los Angeles,CISO,WECC,180,10,1700,0,0,33.92,-118.24,14
63626,63626,"IGS FE Trenton, LLC",229,NJ,Mercer,PJM,RFC,177,10,1500,0,0,40.18933,-74.65676,14
63627,63627,"Scenic Hill Solar IV, LLC",252,AR,Johnson,SWPP,SERC,180,25,2200,0,0,35.47056,-93.4464,14
63629,63629,"Hydra Community Solar Garden, LLC (CSG)",HYDRA,MN,Rice,MISO,MRO,180,30,1000,2,0,44.416723,-93.219857,14
63630,63630,Pleasanton - Amador Valley High School,AVHS,CA,Alameda,CISO,WECC,8,5,1100,0,0,37.662431,-121.874678,14
63635,63635,Crown,CROWN,SC,Lancaster,DUK,SERC,180,55,3000,0,2,34.648205,-80.719878,14
63636,63636,Fort Rock I,FR1,OR,Lake,BPAT,WECC,180,60,9900,0,2,43.320081,-121.003496,14
63651,63651,North Kern State Prison Phase II,5812,CA,Kern,CISO,WECC,180,0,4000,0,2,35.780407,-119.30875,14
63654,63654,Sheriff Road,SHRFF,MD,Prince Georges,PJM,RFC,165,10,1100,0,0,38.911287,-76.894882,14
63657,63657,Siems Solar Project CSG,TC3,MN,Goodhue,MISO,MRO,180,55,1000,0,2,44.272392,-92.55696,14
63658,63658,Schueler Community Solar,TC3,MN,Wright,MISO,MRO,180,55,1000,0,2,45.306139,-94.088307,14
63659,63659,Bowden Solar LLC,BOWDN,MA,Hampden,ISNE,NPCC,180,42.109156,2000,0,0,42.109156,-72.338133,14
63660,63660,M72 West Solar,M72W,MI,Leelanau,MISO,RFC,180,30,1800,0,0,44.776787,-85.701356,14
63667,63667,Sanford Solar,SAS,ME,York,ISNE,NPCC,180,25,49400,0,2,43.4569,-70.7803,14
63668,63668,"University Solar, LLC",URI,RI,Kent,ISNE,NPCC,180,15,24000,0,0,41.6133,-71.6593,14
63672,63672,Lakeville Solar,LV,MA,Plymouth,ISNE,NPCC,180,25,2700,0,2,41.865224,-70.958257,14
63674,63674,Dedeaux,DEDEA,CA,Los Angeles,LDWP,WECC,180,15,900,0,0,34.013113,-118.241894,14
63675,63675,MSAP 13,TROYL,NY,Rensselaer,NYIS,NPCC,180,30,2000,0,0,42.698335,-73.67174,14
